id,idcliente,estado,anom,,
73248,H-240-8542136-U,3680/779880-0229,1,0
73271,K-437-8542183-Y,3666/528140-1768,1,0
73294,E-436-8542230-V,3601/313282-1696,1,0
73317,X-454-8542277-M,3630/058445-2041,1,0
73340,Q-456-8542324-Z,3622/168155-3988,1,0
73363,K-369-8542371-M,3657/461475-5157,1,0
73386,A-415-8542418-G,3650/177457-3757,1,1
73409,V-272-8542465-Q,3644/528349-4750,1,0
73432,L-519-8542512-W,3690/585891-6800,1,0
73455,J-288-8542559-C,3646/952584-5413,1,1
73478,L-300-8542606-K,3648/564192-2290,1,1
73501,G-413-8542653-Q,3668/958611-9271,1,1
73524,F-239-8542700-M,3657/062273-7120,1,0
73547,O-319-8542747-Z,3632/613855-6425,1,1
73570,R-349-8542794-T,3668/471724-8446,1,1
73593,H-518-8542841-L,3620/910642-5320,1,0
73616,V-514-8542888-P,3621/559520-8127,1,0
73639,F-269-8542935-A,3617/524190-0552,1,0
73662,O-327-8542982-J,3641/157643-2634,1,0
73685,Y-445-8543029-L,3692/888526-9233,1,1
73708,I-518-8543076-T,3603/333040-5860,1,1,
73731,O-346-8543123-Y,3666/791324-4061,1,1,
73754,V-492-8543170-U,3626/315349-2501,1,0,
73777,M-312-8543217-C,3655/103713-4624,1,0,
73800,Y-233-8543264-G,3684/005650-6261,1,0,
73823,C-442-8543311-J,3608/590673-6896,1,0,
73846,Q-269-8543358-L,3650/207851-7128,1,0,
73869,P-495-8543405-U,3638/755770-0316,1,0,
73892,M-531-8543452-I,3601/504678-7418,1,0,
73915,J-381-8543499-D,3688/635620-1327,1,0,
73938,E-376-8543546-F,3605/495934-5948,1,0,
73961,D-284-8543593-F,3638/990621-0633,1,0,
73984,U-457-8543640-C,3614/162305-3535,1,0,
74007,L-535-8543687-V,3636/087437-6318,1,0,
74030,T-254-8543734-B,3622/639493-0118,1,0,
74053,I-252-8543781-D,3604/017078-0849,1,0,
74076,B-455-8543828-Y,3655/868307-9151,1,0,
74099,F-305-8543875-T,3680/924878-8087,1,0,
74122,V-450-8543922-A,3667/767711-3337,1,0,
